feature,gain_sum,gain_mean
MolLogP,37766.00416850299,7553.200833700597
HeavyAtomCount,19899.450655326247,3979.8901310652495
LabuteASA,7164.275164604187,1432.8550329208374
Chi0v,6035.375692397356,1207.0751384794712
MaxEStateIndex,4454.089264117181,890.8178528234363
SMR_VSA5,4222.468677930534,844.4937355861068
PEOE_VSA6,3433.5778278410435,686.7155655682087
VSA_EState2,3399.60362303257,679.920724606514
Chi2v,3029.9371502920985,605.9874300584197
TPSA,2917.8886542245746,583.5777308449149
BCUT2D_LOGPHI,2231.687791913748,446.33755838274953
MinEStateIndex,2161.0928643792868,432.2185728758574
BCUT2D_CHGHI,2119.5155802741647,423.90311605483294
Chi1v,2065.3284315615892,413.06568631231784
Chi1,2056.889032058418,411.37780641168354
BalabanJ,2032.3641027659178,406.47282055318357
VSA_EState1,1876.4400971978903,375.2880194395781
SlogP_VSA2,1850.5310199931264,370.1062039986253
PEOE_VSA1,1838.1267988234758,367.6253597646952
qed,1756.309522151947,351.2619044303894
PEOE_VSA8,1751.5075658932328,350.3015131786466
PEOE_VSA7,1736.9630000442266,347.3926000088453
PEOE_VSA2,1716.738658413291,343.3477316826582
BCUT2D_CHGLO,1607.098571240902,321.4197142481804
PEOE_VSA10,1601.4380142241716,320.28760284483434
SlogP_VSA5,1529.165895074606,305.8331790149212
EState_VSA8,1472.7685749679804,294.5537149935961
BCUT2D_MRLOW,1455.9130607619882,291.1826121523976
MaxPartialCharge,1426.6013861596584,285.3202772319317
Chi4v,1345.5861455723643,269.1172291144729
VSA_EState8,1343.9033720567822,268.7806744113565
VSA_EState7,1299.524037949741,259.9048075899482
SMR_VSA10,1276.1094928085804,255.22189856171607
FpDensityMorgan3,1270.1412515044212,254.02825030088425
NOCount,1225.3974174559116,245.07948349118232
VSA_EState3,1212.9058803394437,242.58117606788875
Ipc,1100.135589800775,220.027117960155
EState_VSA7,1086.6750894114375,217.3350178822875
Chi4n,1042.449385292828,208.4898770585656
EState_VSA4,1041.3774958848953,208.27549917697905
EState_VSA3,1028.5868119820952,205.71736239641905
VSA_EState4,1013.7515766322613,202.75031532645227
VSA_EState5,1008.4446102902293,201.68892205804588
VSA_EState6,993.0804889202118,198.61609778404235
BertzCT,984.3747999891639,196.87495999783278
SlogP_VSA3,967.2727849707007,193.45455699414015
BCUT2D_LOGPLOW,949.0720057189465,189.8144011437893
PEOE_VSA9,915.2270866855979,183.04541733711957
BCUT2D_MRHI,912.2925410568714,182.4585082113743
Kappa2,911.3472918570042,182.26945837140084
MolMR,909.4928973764181,181.8985794752836
SlogP_VSA8,904.9905046075583,180.99810092151165
Chi0,900.8682829737663,180.17365659475325
Chi3v,898.5386806428432,179.70773612856865
BCUT2D_MWHI,890.2988938242197,178.05977876484394
SMR_VSA6,884.1865349411964,176.83730698823928
Kappa1,877.9114332199097,175.58228664398194
MinAbsEStateIndex,877.9024870619178,175.58049741238355
MaxAbsEStateIndex,877.3463799655437,175.46927599310874
AvgIpc,866.8838203549385,173.3767640709877
FpDensityMorgan2,854.8435684815049,170.968713696301
FpDensityMorgan1,838.5869996324182,167.71739992648364
HallKierAlpha,834.9384318962693,166.98768637925386
HeavyAtomMolWt,826.3414191529155,165.2682838305831
Chi2n,788.7367417961359,157.74734835922717
BCUT2D_MWLOW,780.9470065534115,156.18940131068229
EState_VSA2,776.8572424948215,155.3714484989643
PEOE_VSA3,766.3553442806005,153.2710688561201
fr_para_hydroxylation,741.9450129419565,148.3890025883913
SPS,738.385998904705,147.677199780941
EState_VSA5,733.2476931810379,146.64953863620758
SMR_VSA3,721.9016401320696,144.3803280264139
MinPartialCharge,713.2196039706469,142.64392079412937
FractionCSP3,649.8125690743327,129.96251381486655
Kappa3,630.4641755074263,126.09283510148525
Phi,629.1472067087889,125.82944134175777
MinAbsPartialCharge,613.8957753926516,122.77915507853031
fr_piperdine,597.2636047005653,119.45272094011307
EState_VSA1,594.9190808534622,118.98381617069245
SMR_VSA1,581.4961077719927,116.29922155439854
SlogP_VSA6,556.0870834738016,111.21741669476032
VSA_EState9,552.8312014862895,110.5662402972579
EState_VSA6,552.2671758532524,110.45343517065048
SMR_VSA7,526.8257483243942,105.36514966487884
MolWt,521.2924761623144,104.25849523246288
fr_COO,507.57706159353256,101.51541231870651
PEOE_VSA12,500.46923354268074,100.09384670853615
MaxAbsPartialCharge,492.64586575329304,98.52917315065861
NumValenceElectrons,483.8168079778552,96.76336159557104
fr_piperzine,477.35903453826904,95.47180690765381
Chi0n,472.34520372748375,94.46904074549676
SlogP_VSA10,467.1703822761774,93.43407645523548
SlogP_VSA1,466.32029493153095,93.2640589863062
NumUnspecifiedAtomStereoCenters,465.24042005091906,93.04808401018381
Chi1n,451.1246297135949,90.22492594271898
EState_VSA9,439.3333435803652,87.86666871607304
SlogP_VSA4,431.3570032119751,86.27140064239502
Chi3n,424.88372668623924,84.97674533724785
SMR_VSA9,336.8330000638962,67.36660001277923
SMR_VSA4,334.28996473550797,66.8579929471016
NumHeterocycles,320.6522249132395,64.1304449826479
fr_C_O,317.62114149332047,63.52422829866409
PEOE_VSA4,311.3210946023464,62.26421892046928
PEOE_VSA11,300.38918697834015,60.07783739566803
NumAtomStereoCenters,274.96955923736095,54.99391184747219
EState_VSA10,263.58972142636776,52.71794428527355
fr_amide,260.20452174544334,52.04090434908867
NumRotatableBonds,253.6258880198002,50.725177603960034
NHOHCount,247.998988956213,49.5997977912426
fr_bicyclic,221.451423920691,44.2902847841382
NumHAcceptors,215.22296430170536,43.04459286034107
ExactMolWt,206.1340373456478,41.22680746912956
fr_Ar_NH,185.50806680321693,37.101613360643384
NumAromaticRings,184.99910759925842,36.999821519851686
VSA_EState10,164.59983943402767,32.91996788680554
fr_NH0,154.5408120006323,30.908162400126457
fr_pyridine,154.22624896466732,30.845249792933465
