feature,gain_sum,gain_mean
affinity_pred_value,30261.135904248804,6052.227180849761
MolLogP,22265.23207193613,4453.046414387226
HeavyAtomCount,9204.873495995998,1840.9746991991997
affinity_probability_binary_2,8999.291683994234,1799.8583367988467
complex_ipde,4587.082033120096,917.4164066240191
affinity_probability_binary,3945.711263142526,789.1422526285053
SMR_VSA5,3853.22158768028,770.6443175360561
affinity_pred_value_2,3612.8730604574084,722.5746120914816
LabuteASA,3489.8935469202697,697.9787093840539
MaxEStateIndex,3323.4549386538565,664.6909877307713
Chi0v,3048.022513963282,609.6045027926564
ligand_to_pocket_distance_a,2856.168766710907,571.2337533421814
VSA_EState2,2392.9940983355045,478.5988196671009
Chi2v,2206.8687452450395,441.37374904900787
qed,2067.641180034727,413.52823600694535
PEOE_VSA6,2006.6841730698943,401.33683461397885
TPSA,1893.0042499415576,378.60084998831155
VSA_EState1,1795.6065383404493,359.12130766808986
BCUT2D_CHGHI,1761.1271365508437,352.22542731016875
ligand_atom_count,1724.0359468609095,344.8071893721819
Chi1v,1602.7705845087767,320.5541169017553
iptm,1566.0064283944666,313.2012856788933
Chi2n,1448.2876148223877,289.65752296447755
PEOE_VSA10,1384.0966214425862,276.81932428851724
BCUT2D_LOGPHI,1351.0785862840712,270.21571725681423
MinEStateIndex,1329.6103276126087,265.92206552252173
PEOE_VSA8,1319.5678922906518,263.91357845813036
PEOE_VSA7,1316.1614714637399,263.23229429274795
PEOE_VSA2,1284.3469751887023,256.86939503774045
BCUT2D_CHGLO,1267.0671697184443,253.41343394368886
Chi4v,1259.055671557784,251.81113431155683
EState_VSA8,1197.912101086229,239.5824202172458
MolMR,1188.9197877123952,237.78395754247904
affinity_probability_binary_1,1139.8666957505047,227.97333915010094
PEOE_VSA1,1136.691853620112,227.33837072402238
Kappa1,1119.1464443318546,223.82928886637092
SlogP_VSA5,1093.8285749591887,218.76571499183774
SMR_VSA10,1070.111188966781,214.02223779335617
Chi0,1065.134155742824,213.0268311485648
VSA_EState7,1058.4497747905552,211.68995495811106
BalabanJ,1042.3200696744025,208.46401393488048
Chi4n,1021.0035840719938,204.20071681439876
EState_VSA7,996.0612738244236,199.2122547648847
FpDensityMorgan3,995.0911544859409,199.01823089718818
VSA_EState3,986.3918756172061,197.2783751234412
Ipc,984.4171166345477,196.88342332690954
EState_VSA3,982.8008390404284,196.56016780808568
affinity_pred_value_1,973.7028358876705,194.7405671775341
EState_VSA4,950.8615261465311,190.17230522930623
MaxPartialCharge,940.8616228587925,188.1723245717585
VSA_EState6,937.6054520234466,187.52109040468932
BCUT2D_MRLOW,931.9097311384976,186.38194622769953
VSA_EState8,913.190039459616,182.6380078919232
PEOE_VSA9,891.2003786079586,178.24007572159172
NumUnspecifiedAtomStereoCenters,871.5474665910006,174.3094933182001
FpDensityMorgan1,867.5474719852209,173.5094943970442
BCUT2D_MWHI,866.0903773196042,173.21807546392083
complex_pde,790.2537635341287,158.05075270682573
BCUT2D_LOGPLOW,784.7220612131059,156.94441224262118
EState_VSA2,782.3359964489937,156.46719928979874
VSA_EState5,775.5135233253241,155.1027046650648
VSA_EState4,774.6449685804546,154.92899371609093
ensemble_diff_prob,769.571096226573,153.9142192453146
BertzCT,764.799393877387,152.95987877547742
complex_iplddt,758.943815022707,151.7887630045414
FpDensityMorgan2,749.2985223829746,149.8597044765949
SlogP_VSA2,746.2222425788641,149.24444851577283
confidence_score,720.1428181380033,144.02856362760068
SlogP_VSA8,715.6079104468226,143.12158208936452
SlogP_VSA3,710.6290251649916,142.12580503299833
MinAbsEStateIndex,672.1453595906496,134.42907191812992
Chi0n,669.2970749586821,133.8594149917364
EState_VSA5,658.5488934367895,131.7097786873579
AvgIpc,629.3521421030164,125.87042842060328
FractionCSP3,621.1078481040895,124.2215696208179
MinPartialCharge,619.4774147570133,123.89548295140267
Chi3n,618.4951407909393,123.69902815818787
BCUT2D_MWLOW,607.8797561489046,121.57595122978091
ensemble_diff_affinity,607.6717244759202,121.53434489518403
BCUT2D_MRHI,603.6649954095483,120.73299908190965
SPS,582.8794993460178,116.57589986920357
SMR_VSA6,577.4735690914094,115.4947138182819
Chi3v,566.7832206264138,113.35664412528277
Phi,550.6833135746419,110.13666271492839
Kappa2,549.9188838116825,109.98377676233649
SMR_VSA3,539.2655344419181,107.85310688838362
PEOE_VSA3,538.2732495032251,107.65464990064501
ptm,535.748311098665,107.149662219733
SMR_VSA1,533.0816550627351,106.61633101254702
complex_plddt,506.4892935939133,101.29785871878266
EState_VSA6,501.0866791252047,100.21733582504093
EState_VSA1,499.5217875801027,99.90435751602054
fr_para_hydroxylation,497.06551468372345,99.41310293674469
