feature,gain_sum,gain_mean
affinity_pred_value,29551.63094142638,5910.326188285277
SLogP,20517.29669765383,4103.459339530766
affinity_probability_binary_2,8065.993777418509,1613.198755483702
complex_ipde,3382.5076584639028,676.5015316927805
MINdO,3253.4206445403397,650.6841289080679
VE1_DzZ,3196.5429132282734,639.3085826456547
ATSC0d,3092.9366748817265,618.5873349763453
affinity_pred_value_2,2816.0579458400607,563.2115891680121
affinity_probability_binary,2803.334184076637,560.6668368153274
ABCGG,2653.0831114277244,530.6166222855448
VE2_Dzi,2208.465438723564,441.69308774471284
VR3_DzZ,2068.6669063568115,413.7333812713623
ligand_to_pocket_distance_a,1827.060973867774,365.4121947735548
MID_C,1751.5086956992745,350.30173913985493
SMR_VSA5,1492.237393507734,298.4474787015468
ATS7m,1424.6408110782504,284.9281622156501
Vabc,1232.8817142713815,246.5763428542763
ATS7p,1139.3479847684503,227.86959695369006
Xpc-5dv,1098.237340465188,219.64746809303762
Xpc-6dv,1064.224805843085,212.844961168617
