feature,gain_sum,gain_mean
affinity_pred_value,30261.135904248804,6052.227180849761
MolLogP,22265.23207193613,4453.046414387226
HeavyAtomCount,9204.873495995998,1840.9746991991997
affinity_probability_binary_2,8999.291683994234,1799.8583367988467
complex_ipde,4587.082033120096,917.4164066240191
affinity_probability_binary,3945.711263142526,789.1422526285053
SMR_VSA5,3853.22158768028,770.6443175360561
affinity_pred_value_2,3612.8730604574084,722.5746120914816
LabuteASA,3489.8935469202697,697.9787093840539
MaxEStateIndex,3323.4549386538565,664.6909877307713
Chi0v,3048.022513963282,609.6045027926564
ligand_to_pocket_distance_a,2856.168766710907,571.2337533421814
VSA_EState2,2392.9940983355045,478.5988196671009
Chi2v,2206.8687452450395,441.37374904900787
qed,2067.641180034727,413.52823600694535
PEOE_VSA6,2006.6841730698943,401.33683461397885
TPSA,1893.0042499415576,378.60084998831155
VSA_EState1,1795.6065383404493,359.12130766808986
BCUT2D_CHGHI,1761.1271365508437,352.22542731016875
ligand_atom_count,1724.0359468609095,344.8071893721819
