feature,gain_sum,gain_mean
affinity_pred_value,28295.513342950493,5659.102668590099
SLogP,21367.133853808045,4273.426770761609
affinity_probability_binary_2,8170.4671348351985,1634.0934269670397
MINdO,3441.2549903318286,688.2509980663657
complex_ipde,3421.8392514176667,684.3678502835334
ATSC0d,3086.746110163629,617.3492220327258
ABCGG,3011.572840578854,602.3145681157708
affinity_pred_value_2,2947.390893794596,589.4781787589193
affinity_probability_binary,2849.3537990171462,569.8707598034292
VE2_Dzi,2203.297456473112,440.6594912946224
VR3_DzZ,1972.8770899772644,394.5754179954529
ligand_to_pocket_distance_a,1727.9369999803603,345.58739999607207
VE1_DzZ,1584.1984533667564,316.8396906733513
MID_C,1411.3298107907176,282.2659621581435
Vabc,1398.3378105461597,279.66756210923194
SMR_VSA5,1377.5933975987136,275.5186795197427
VE1_Dzm,1351.0495200157166,270.2099040031433
FilterItLogS,1159.816326458007,231.96326529160143
Xpc-5dv,1132.752212293446,226.55044245868922
ATS7p,1131.6584588885307,226.33169177770614
Xpc-6dv,1122.9349584579468,224.58699169158936
ATS6m,995.9103719741106,199.1820743948221
VR1_Dzm,826.1320190429688,165.22640380859374
VSA_EState2,784.485638525337,156.8971277050674
ATS0d,763.6827579438686,152.73655158877372
PEOE_VSA6,726.5095108784735,145.3019021756947
ATS7m,719.0357405468822,143.80714810937644
TopoPSA(NO),667.811252463609,133.5622504927218
GATS1se,663.5799451619387,132.71598903238774
NdsCH,655.3995219618082,131.07990439236164
