feature,gain_sum,rank
pde_pocket_ligand_min,2236.9135620364686,9
pae_protein_ligand_min,382.19414452370256,61
pde_intra_ligand_max,343.0620967242867,69
pae_pocket_ligand_mean,299.7658428475261,77
pae_pocket_ligand_min,296.62658077687956,78
plddt_res411,254.39306166395545,96
pde_pocket_ligand_std,209.74236526642926,117
pae_pocket_ligand_max,195.53093932988122,130
pde_pocket_ligand_mean,177.7950245414395,143
pde_intra_ligand_mean,171.66414149920456,152
pde_intra_ligand_std,152.17703549738508,179
plddt_protein_p10,149.0496687493287,186
plddt_ligand_min,146.11493841279298,189
plddt_res240,144.73988807108253,191
plddt_protein_min,142.95177740743384,195
plddt_res243,141.3030373302754,198
plddt_ligand_max,138.99522856867407,204
pae_protein_ligand_max,129.0171362545807,230
plddt_protein_max,127.52136762568261,235
pde_pocket_ligand_max,125.00739999662619,242
pae_pocket_ligand_std,124.3747870902298,244
plddt_res299,121.24233789090067,254
plddt_ligand_std,105.80035439622588,305
plddt_res281,103.52933738625143,316
plddt_protein_std,95.18546279834118,346
plddt_ligand_mean,87.24483748688363,387
plddt_res247,86.1449130885303,393
plddt_res407,84.9545660946751,405
plddt_pocket_p10,83.59609459829517,416
plddt_ligand_p10,83.02781125437468,424
pde_intra_ligand_min,78.96310288831592,451
pae_protein_ligand_std,77.35350116179325,464
plddt_res288,77.07586411305238,465
plddt_pocket_mean,73.16475637210533,486
plddt_res323,67.2662132254336,528
plddt_pocket_min,63.57563022070099,562
plddt_protein_mean,59.59682230243925,597
pae_protein_ligand_mean,58.175225373357534,612
plddt_pocket_std,54.548335716011934,651
plddt_res285,51.63401069107931,686
plddt_res211,47.47477222699672,725
plddt_res306,40.10189955565147,800
plddt_pocket_max,39.9213040471077,803
plddt_res209,2.320070988498628,1224
