feature,gain_sum,rank
affinity_pred_value,27770.089338932536,1
SLogP,21122.91488520347,2
affinity_probability_binary_2,7876.981560388114,3
MINdO,3240.072308794246,4
affinity_pred_value_2,3115.444564497797,5
affinity_probability_binary,2806.903874232783,6
ATSC0d,2749.6283079197165,7
ABCGG,2582.6453763262834,8
pde_pocket_ligand_min,2236.9135620364686,9
complex_ipde,1980.2499674633145,10
VE2_Dzi,1962.511493947357,11
Vabc,1756.457370525226,12
VE1_DzZ,1683.699600329157,13
ligand_to_pocket_distance_a,1608.8673732603202,14
VR3_DzZ,1451.3370361328125,15
SMR_VSA5,1427.7908372727688,16
MID_C,1380.123416534625,17
FilterItLogS,1146.4312516971258,18
Xpc-6dv,1140.5814638496377,19
VR3_Dt,1098.1215593628585,20
ATS6m,1047.8583099325188,21
ATS7p,1030.5832575776149,22
SdsCH,948.0288047001231,23
VR3_Dzi,928.8928621448576,24
PEOE_VSA6,909.8809890015982,25
Xpc-5dv,871.256918924395,26
ATS0d,815.491124112159,27
TopoPSA(NO),810.2729955625255,28
ATS7m,798.1965284966864,29
VE1_Dzi,710.4501905478537,30
ATS4Z,689.5758183849975,31
VE1_Dzare,675.3022504781839,32
VSA_EState2,644.6963740519714,33
GATS1se,635.6441328288056,34
Xc-3dv,633.8343684973661,35
ATS7v,605.410779092228,36
NdsCH,562.107495315373,37
GATS7s,556.0262647008058,38
MINdssC,551.5048006145516,39
VSA_EState1,545.4429130726494,40
Xc-5dv,536.2809980649035,41
MAXaaaC,528.1082403608598,42
VE1_Dzm,519.5852494449355,43
BCUTd-1l,508.63404186384287,44
ATS5Z,495.8225723612122,45
GATS5c,473.20404377637897,46
SpMAD_D,465.64037850452587,47
AETA_beta_s,462.31880246277433,48
affinity_probability_binary_1,445.198984941002,49
GATS6s,444.1814949332038,50
PEOE_VSA8,438.81771143735386,51
ATS2v,424.26368301175535,52
MATS1se,423.1649073599838,53
PEOE_VSA2,422.7920553169679,54
SsssN,421.0401291688904,55
Xp-5d,412.5245635197498,56
