feature,gain_sum,rank
affinity_pred_value,27643.79840335436,1
SLogP,21172.927520737052,2
affinity_probability_binary_2,8208.079466905445,3
MINdO,3479.5517802126706,4
ABCGG,3397.9323012419045,5
affinity_pred_value_2,3111.1482865028083,6
affinity_probability_binary,2689.580763168633,7
ATSC0d,2445.04397036694,8
VE1_Dzi,2334.8309747204185,9
VR3_DzZ,2257.1940307617188,10
pde_pocket_ligand_min,2160.717887889594,11
VE2_Dzi,2054.5598523542285,12
complex_ipde,1828.6627838276327,13
ligand_to_pocket_distance_a,1726.9170876387507,14
Vabc,1665.0796485990286,15
MID_C,1354.6625711731613,16
SMR_VSA5,1197.7667374685407,17
ATS7p,1192.2705635726452,18
ATS0d,1086.4875797778368,19
Xpc-5dv,1067.8035783432424,20
FilterItLogS,1021.5786758903414,21
Xpc-6dv,1004.2480527274311,22
PEOE_VSA6,805.3613826483488,23
TopoPSA(NO),794.8812548443675,24
ATS6m,757.4786858856678,25
NdsCH,721.5797460079193,26
Xc-5dv,658.275957422331,27
ATS7m,652.2799046039581,28
VSA_EState2,649.5702992063016,29
VE1_DzZ,618.1111027449369,30
MINdssC,602.4246438723058,31
SdsCH,601.5456131920218,32
VR3_Dt,577.6975396424532,33
GATS1se,559.0544504169375,34
Xc-3dv,557.4291163757443,35
MAXaaaC,556.810200035572,36
ATS4Z,555.8454248365015,37
affinity_probability_binary_1,543.3930274806917,38
GATS7s,541.1382934078574,39
BCUTd-1l,513.0167994201183,40
ETA_eta,496.7711813207716,41
ATS5Z,470.33327980339527,42
SpMAD_D,469.87699856236577,43
VSA_EState1,465.5057406388223,44
MAXdO,447.9871980138123,45
ATS7v,411.7536927945912,46
AETA_beta_s,411.66179114207625,47
Xp-5d,401.45953636802733,48
GATS5c,395.5985982976854,49
affinity_pred_value_1,394.44485583528876,50
MATS1se,392.5502655543387,51
pae_protein_ligand_min,389.84915117174387,52
VR1_Dzp,376.9600848555565,53
PEOE_VSA2,365.228231087327,54
GATS6s,361.3586146440357,55
JGI3,357.556622216478,56
ATS6Z,357.00583935528994,57
ATSC5d,356.7880555409938,58
PEOE_VSA8,356.22882043011487,59
IC3,352.68747994303703,60
MINaaCH,348.1782878115773,61
GATS7se,336.89150076545775,62
piPC10,331.0655259527266,63
GATS4d,323.8601474016905,64
MINdsCH,323.76032302714884,65
VE1_Dzse,321.6532974243164,66
SlogP_VSA5,320.26564961485565,67
MATS3d,313.35670718178153,68
pae_pocket_ligand_mean,311.73243916220963,69
ATS6s,309.2579719349742,70
pde_intra_ligand_max,304.5589432641864,71
SsssN,303.54339775443077,72
BCUTs-1l,301.52095176652074,73
ATSC1i,294.4080442953855,74
GGI3,291.9286006372422,75
PEOE_VSA10,291.8672895077616,76
AATSC0v,289.98933436349034,77
AATSC0p,288.4230693615973,78
MINssCH2,286.4314508624375,79
SlogP_VSA2,285.50443378835917,80
TopoPSA,283.97578329220414,81
MAXsssN,278.05176879651845,82
GATS1pe,276.9837853461504,83
Xc-4dv,274.7107967659831,84
SIC2,273.7905585374683,85
MAXaasC,269.90830520167947,86
plddt_res411,269.90229127183557,87
VE2_Dzpe,268.92304706573486,88
VR1_Dzm,268.3353958129883,89
NdCH2,265.39908570051193,90
JGI7,262.4601993970573,91
BCUTd-1h,258.7936421595514,92
Xc-6d,256.7048861980438,93
ETA_shape_x,256.3260400891304,94
ATS7Z,255.3937224522233,95
ATSC1se,255.3721097242087,96
IC2,251.26705397292972,97
MID_N,247.45515665598214,98
AATS6s,246.4068171158433,99
AATSC5d,245.7517288774252,100
pde_intra_ligand_mean,243.77101261168718,101
AETA_eta,243.18035643175244,102
PEOE_VSA7,238.78206246718764,103
ATS2v,237.21317049860954,104
VSA_EState3,235.21736995317042,105
MAXdssC,233.81778918206692,106
AMID_N,231.04503735527396,107
ATS5m,221.34051332622766,108
pae_pocket_ligand_min,221.20856747031212,109
ATSC8d,220.43986979871988,110
iptm,220.4303331002593,111
SdssC,219.8153018411249,112
MATS5d,219.68304050900042,113
ZMIC2,218.4017940275371,114
SaaaC,214.19061076268554,115
ATS5s,214.05604235455394,116
plddt_ligand_min,212.6930669695139,117
Xc-5d,212.14775575697422,118
BIC5,211.496208794415,119
BCUTpe-1h,208.21019718796015,120
ligand_atom_count,207.73740005493164,121
AXp-3d,207.50380024313927,122
SdCH2,207.3132235854864,123
EState_VSA8,206.49849220365286,124
MAXaaCH,205.78962578065693,125
RPCG,204.928957156837,126
ATSC7d,203.73837688565254,127
EState_VSA3,200.77543415501714,128
PEOE_VSA1,196.90823151357472,129
VSA_EState7,196.2828251309693,130
SlogP_VSA8,195.30444026738405,131
ATS8se,194.5586038082838,132
GATS4c,191.46184055879712,133
MATS4dv,191.35615364834666,134
GATS6c,189.79853125475347,135
BIC2,189.3830592855811,136
VSA_EState6,189.26357257924974,137
