,Q1_best,Q2,Q3,Q4_worst,delta_Q4_Q1
amw,344.315,344.698,339.694,337.873,-6.442000000000007
tpsa,68.57,68.856,68.619,71.573,3.003
pec50,4.475,4.498,4.491,3.82,-0.6549999999999998
ligand_atom_count,24.257,24.32,24.03,23.691,-0.5660000000000025
num_heavy_atoms,24.257,24.32,24.03,23.75,-0.5070000000000014
logp,2.971,2.924,2.739,2.56,-0.41100000000000003
affinity_pred_value,0.44,0.502,0.647,0.733,0.293
hba,5.452,5.522,5.543,5.715,0.2629999999999999
kappa1,16.635,16.624,16.54,16.412,-0.22300000000000253
num_aromatic_rings,2.223,2.214,2.077,2.028,-0.19499999999999984
num_rotatable_bonds,4.48,4.444,4.393,4.311,-0.16900000000000048
num_heterocycles,1.646,1.705,1.691,1.814,0.16800000000000015
hallkieralpha,-2.362,-2.359,-2.3,-2.253,0.10899999999999999
num_rings,3.116,3.17,3.069,3.01,-0.10600000000000032
num_aliphatic_rings,0.893,0.957,0.991,0.982,0.08899999999999997
affinity_probability_binary,0.368,0.357,0.339,0.325,-0.04299999999999998
ligand_to_pocket_distance_a,1.56,1.547,1.534,1.597,0.03699999999999992
fractioncsp3,0.356,0.36,0.389,0.389,0.03300000000000003
num_bridgehead_atoms,0.022,0.026,0.029,0.051,0.028999999999999998
ensemble_diff,0.492,0.463,0.466,0.467,-0.024999999999999967
hbd,1.273,1.195,1.216,1.291,0.018000000000000016
num_spiro_atoms,0.039,0.042,0.033,0.032,-0.006999999999999999
iptm,0.953,0.954,0.954,0.95,-0.0030000000000000027
ligand_iptm,0.953,0.954,0.954,0.95,-0.0030000000000000027
complex_plddt,0.818,0.818,0.818,0.818,0.0
