feature,family,gain_mean,gain_std,nonzero_folds,rank,gain_share_pct
boltz_tier0.affinity_pred_value,boltz_tier0,10869.658973657153,5327.974702113338,5,1,11.872848146593293
mordred.SLogP,mordred,7754.193999275658,4676.012079739751,5,2,8.4698487851132
boltz_tier0.affinity_probability_binary_2,boltz_tier0,2815.9566062286494,1476.7596598842838,5,3,3.0758485849625616
rdkit.MolLogP,rdkit,2153.1574573848397,893.908628856642,5,4,2.351877974202345
boltz_tier0.affinity_pred_value_2,boltz_tier0,2102.8412536954506,1566.754493894232,5,5,2.2969179568581968
mordred.ABCGG,mordred,1516.9194398663938,766.7318170463255,5,6,1.6569198908445093
mordred.MINdO,mordred,1235.0339970614762,476.0955262173762,5,7,1.3490185054129153
boltz_tier0.affinity_probability_binary,boltz_tier0,1159.7405036123469,284.1682858027404,5,8,1.2667759791004953
mordred.Vabc,mordred,1020.6434645920992,644.2685774379626,5,9,1.1148413116071956
mordred.ATSC0d,mordred,990.3497078195214,655.2011627895209,5,10,1.0817516650210124
d3_morse.64,d3_morse,920.956450009346,1159.187872648326,4,11,1.0059539224814957
boltz_tier1.pde_pocket_ligand_min,boltz_tier1,727.6007651848719,259.61027377829896,5,12,0.7947529372652007
d3_usrcat.39,d3_usrcat,564.1519002820365,191.45240199418237,5,13,0.6162189503731096
mordred.VE1_DzZ,mordred,523.5182822570205,1011.0529269648081,3,14,0.5718351497748675
d3_usrcat.36,d3_usrcat,511.9573964079842,254.7739665563322,5,15,0.5592072796219619
mordred.Xpc-6dv,mordred,480.573118108511,211.10594737681515,5,16,0.5249264644332681
mordred.VR3_DzZ,mordred,431.12720488607886,862.2129026730274,2,17,0.4709170589328446
d3_usrcat.46,d3_usrcat,407.81912731342015,167.75345563270423,5,18,0.4454578180974272
mordred.MID_C,mordred,397.05365015976133,265.5005111314277,5,19,0.4336987669826887
mordred.MAXdsCH,mordred,391.7284631751478,126.1294493801576,5,20,0.42788210460406584
d3_mordred3d.WNSA1,d3_mordred3d,370.84666539225725,209.81276317388057,5,21,0.40507307124754727
d3_mordred3d.FPSA3,d3_mordred3d,364.3683687746525,238.15729255901704,5,22,0.39799687574078685
boltz_tier0.complex_ipde,boltz_tier0,352.3014303840697,152.72190078344008,5,23,0.38481624813757487
mordred.VE1_Dzse,mordred,343.41752926707267,366.7354659651965,4,24,0.3751124286187581
mordred.Xpc-5dv,mordred,297.4528926569968,152.49974760524125,5,25,0.3249055958278339
mordred.FilterItLogS,mordred,280.1435840917751,189.61576995708134,5,26,0.30599876603533865
mordred.ATS4Z,mordred,278.76853837966917,321.74788825579424,5,27,0.3044968137685726
mordred.SMR_VSA5,mordred,257.6422588193789,46.474188506836676,5,28,0.28142073477385043
mordred.ATS7Z,mordred,256.1487416602671,389.62865128128203,5,29,0.27978937702128054
mordred.VE2_Dzare,mordred,241.41239612624048,472.3644503323688,4,30,0.2636929757279878
mordred.VE1_Dzm,mordred,235.34820556640625,470.6964111328125,1,31,0.2570691052069891
mordred.VR3_Dzv,mordred,235.00190123915672,469.7635668392862,2,32,0.25669083955027383
rdkit.qed,rdkit,232.48410786930472,50.60036311531445,5,33,0.25394067246433305
mordred.Xc-3dv,mordred,227.06384040787816,121.44708030165678,5,34,0.24802015438373815
mordred.MAXdCH2,mordred,220.93514894992114,98.29710178032786,5,35,0.24132583000852134
mordred.ETA_eta,mordred,206.07211178280414,62.479661905540375,5,36,0.2250910443809296
mordred.ATS6m,mordred,198.65581780709326,160.4559593928211,5,37,0.21699028129374287
mordred.VSA_EState1,mordred,194.58360329307615,138.6308798403671,5,38,0.21254223148257104
d3_usrcat.43,d3_usrcat,192.7406816639006,111.05206215086885,5,39,0.21052922181020667
d3_usrcat.48,d3_usrcat,190.17831089813262,65.63374865207977,5,40,0.2077303631642305
d3_mordred3d.PNSA1,d3_mordred3d,188.47971693025903,19.91242430199916,5,41,0.20587500152941213
boltz_tier0.affinity_probability_binary_1,boltz_tier0,188.08707934357227,45.756875392006236,5,42,0.2054461263959167
d3_rdf.181,d3_rdf,186.85357916243373,118.32181601525465,5,43,0.2040987832662982
d3_mordred3d.FPSA4,d3_mordred3d,177.43202523812653,61.20561242672978,5,44,0.19380768956047575
d3_whim.27,d3_whim,176.50348682403563,353.00697364807127,1,45,0.19279345391467514
mordred.MAXaaaC,mordred,174.17264330554752,53.674667821503334,5,46,0.1902474907694147
mordred.Xc-5dv,mordred,172.69960992746056,120.71904200442006,5,47,0.18863850729943876
mordred.Xc-6d,mordred,170.8592472460121,77.06351733032962,5,48,0.18662829274676057
mordred.BCUTd-1h,mordred,170.59865895900876,93.74846372985512,5,49,0.1863436540871789
