feature,family,gain_mean,nonzero_folds,r_pec50,cluster_size,shortcut_flag,overall_rank,final_rank
boltz_tier0.affinity_pred_value,boltz_tier0,10869.658973657151,5,-0.5373411396741169,3,False,1,1
mordred.SLogP,mordred,7754.193999275658,5,0.4814595097083984,2,False,2,2
boltz_tier0.affinity_probability_binary_2,boltz_tier0,2815.956606228649,5,0.30240765691825067,1,False,3,3
mordred.ABCGG,mordred,1516.9194398663938,5,0.4298996211264191,15,False,4,4
mordred.MINdO,mordred,1235.0339970614762,5,0.1998360595432133,2,False,5,5
boltz_tier0.affinity_probability_binary,boltz_tier0,1159.7405036123469,5,0.42430753485319617,2,False,6,6
d3_morse.64,d3_morse,920.956450009346,4,0.2832812461299964,2,False,7,7
boltz_tier1.pde_pocket_ligand_min,boltz_tier1,727.6007651848719,5,-0.3980210942989085,5,False,8,8
d3_usrcat.39,d3_usrcat,564.1519002820365,5,-0.033742788736168094,2,False,9,9
mordred.VE1_DzZ,mordred,523.5182822570205,3,0.4239094529411456,14,False,10,10
mordred.Xpc-6dv,mordred,480.573118108511,5,0.32731578135257616,3,False,11,11
d3_usrcat.46,d3_usrcat,407.81912731342015,5,-0.06934035393386288,1,False,12,12
mordred.MAXdsCH,mordred,391.7284631751478,5,-0.12847681756755708,2,False,13,13
d3_mordred3d.WNSA1,d3_mordred3d,370.8466653922573,5,0.3453607891169883,1,False,14,14
d3_mordred3d.FPSA3,d3_mordred3d,364.3683687746525,5,-0.38186815744932007,1,False,15,15
mordred.FilterItLogS,mordred,280.1435840917751,5,-0.45742733447443007,1,False,16,16
mordred.ATS4Z,mordred,278.7685383796692,5,0.374864458119536,2,False,17,17
mordred.SMR_VSA5,mordred,257.6422588193789,5,0.30048470666945937,2,False,18,18
rdkit.qed,rdkit,232.48410786930472,5,0.19873911624848994,1,False,19,19
mordred.Xc-3dv,mordred,227.06384040787816,5,0.3385005766867739,1,False,20,20
mordred.MAXdCH2,mordred,220.93514894992117,5,-0.1478627273565348,2,False,21,21
mordred.ETA_eta,mordred,206.07211178280411,5,0.3288617293406616,1,False,22,22
mordred.VSA_EState1,mordred,194.58360329307612,5,0.243102045900352,1,False,23,23
d3_usrcat.43,d3_usrcat,192.7406816639006,5,-0.04949079128090757,1,False,24,24
d3_usrcat.48,d3_usrcat,190.17831089813265,5,-0.21501505777102364,2,False,25,25
d3_mordred3d.PNSA1,d3_mordred3d,188.47971693025903,5,0.4249149383819112,1,False,26,26
d3_rdf.181,d3_rdf,186.85357916243373,5,0.39328521825825835,1,False,27,27
d3_mordred3d.FPSA4,d3_mordred3d,177.43202523812653,5,-0.31371294834654045,2,False,28,28
mordred.MAXaaaC,mordred,174.17264330554752,5,0.009729009425181463,2,False,29,29
mordred.Xc-5dv,mordred,172.69960992746056,5,0.26352810063354637,1,False,30,30
mordred.Xc-6d,mordred,170.8592472460121,5,0.14721347338045965,1,False,31,31
mordred.BCUTd-1h,mordred,170.59865895900876,5,0.2964162863452989,1,False,32,32
mordred.ATS7m,mordred,168.48285593800247,5,0.3406991330210556,2,False,33,33
mordred.TopoPSA(NO),mordred,167.0850729212165,5,-0.07430400205339967,2,False,34,34
mordred.MINdssC,mordred,162.7981893358752,5,0.18884041071315108,1,False,35,35
mordred.GATS1se,mordred,157.69222503826023,5,-0.3550859090355558,2,False,36,36
d3_usrcat.16,d3_usrcat,157.2831662052311,5,0.06127309179061762,1,False,37,37
d3_scalar.spherocity_index,d3_scalar,155.04051816444843,5,0.3324109075759024,1,False,38,38
d3_usr.4,d3_usr,154.93741359561682,5,0.12848691168197576,2,False,39,39
d3_electroshape.7,d3_electroshape,153.41291019339116,5,-0.04378844908904722,2,False,40,40
mordred.nC,mordred,144.22056276835502,5,0.40115012933179267,2,False,41,41
d3_getaway.86,d3_getaway,141.7949576444924,5,0.49171967150260437,1,False,42,42
mordred.VSA_EState2,mordred,141.46623355615884,5,-0.07199368405391969,1,False,43,43
mordred.BCUTd-1l,mordred,140.37821900080888,5,-0.05737176629352975,1,False,44,44
d3_usrcat.55,d3_usrcat,134.2031318448484,5,-0.13856226207056277,1,False,45,45
d3_whim.66,d3_whim,132.6664462272078,5,0.06658298915098168,5,False,46,46
d3_getaway.151,d3_getaway,129.9314718078822,5,0.42751876492717655,2,False,47,47
d3_rdf.54,d3_rdf,126.57513083070516,5,-0.09355774320940799,1,False,48,48
mordred.PEOE_VSA6,mordred,126.27230093032122,5,0.2956957657658086,1,False,49,49
d3_getaway.85,d3_getaway,120.2924450777471,5,0.49501754598791636,1,False,51,50
