number,value_MAE,RAE,Pearson,num_leaves,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,reg_alpha,reg_lambda,max_depth
0,0.5279158353805542,0.5801721215248108,0.7598800659179688,42,0.10616785666328349,0.8659969709057025,0.8394633936788146,2,13,0.0001707396743152812,0.29154431891537513,9
1,0.5175817012786865,0.5688150525093079,0.7710225582122803,111,0.01052481329009022,0.9849549260809971,0.9329770563201687,3,15,0.0005415244119402539,0.0016480446427978971,8
2,0.5137487053871155,0.5646026730537415,0.7726659774780273,50,0.020620017351642206,0.8059264473611898,0.6557975442608167,3,25,0.006672367170464205,0.13826232179369857,5
3,0.5191097259521484,0.5704943537712097,0.7691401839256287,63,0.043583559109257056,0.5232252063599989,0.8430179407605753,2,8,0.6245139574743068,0.7286653737491037,11
4,0.5117453336715698,0.5624009966850281,0.7743059992790222,35,0.012746939181487582,0.8421165132560784,0.7760609974958406,2,32,0.00013726318898045882,0.43379206974909373,6
5,0.5141597390174866,0.5650543570518494,0.7729974985122681,97,0.02169665321180868,0.7600340105889054,0.8186841117373118,2,59,0.12604664585649453,0.5727904470799616,12
6,0.5346896052360535,0.5876163840293884,0.7573078870773315,81,0.09882558313725806,0.5442462510259598,0.6783931449676581,1,23,0.0035868164986275516,0.0012172958098369967,11
7,0.518696129322052,0.5700397491455078,0.7699295282363892,40,0.020099222330087436,0.7713480415791243,0.6563696899899051,9,9,0.8862326508576243,0.12273800987852965,5
8,0.5195109248161316,0.5709352493286133,0.767853856086731,15,0.07586311661632818,0.8534286719238086,0.8916028672163949,8,9,0.00271558195528294,0.00029072088906598463,11
9,0.5151470899581909,0.5661394596099854,0.7727853059768677,87,0.022756158119789482,0.5317791751430119,0.7243929286862649,4,45,0.035500125258511595,0.35387588647792356,8
10,0.5121636986732483,0.5628607273101807,0.7736225724220276,218,0.010150140348198845,0.6538471057251312,0.7511806199860811,6,41,0.00011494954687780983,0.028460916294750553,4
11,0.5113074779510498,0.5619197487831116,0.773905873298645,252,0.010211425003405477,0.6417110672922189,0.7482501209054793,6,42,0.00011068458067111074,0.02269506205467711,4
12,0.5123668909072876,0.563084065914154,0.7733309268951416,23,0.014305419369091518,0.6603518400203829,0.9943435740037198,7,38,0.0006928232300148996,0.01608904754106196,6
13,0.5135412216186523,0.564374566078186,0.7741038799285889,253,0.03949679570819861,0.6585233249878658,0.7545487336810212,5,50,0.0005617307123414824,0.05103969980016736,6
14,0.5159811973571777,0.5670561194419861,0.769778311252594,144,0.014776162389286526,0.956801292970232,0.6035446603836263,10,32,0.0001407685899791146,0.003980364072244546,4
15,0.5115517377853394,0.5621882081031799,0.7749022245407104,27,0.014230167658513126,0.6931025372285268,0.7600591041258481,6,30,0.0012802832970535397,0.006945446833106152,7
16,0.5156092047691345,0.5666472911834717,0.772983193397522,27,0.03072194719599087,0.703881369948917,0.702373472428839,6,53,0.0014218294091440287,0.005915594205736952,8
17,0.5134953260421753,0.5643242001533508,0.7748558521270752,17,0.029562796863101252,0.5976447616694706,0.792411279176134,7,23,0.030662013233443097,0.0001397073493540523,7
18,0.5184907913208008,0.5698140859603882,0.7698730230331421,178,0.05256166184035904,0.6021784816810309,0.8970303337810759,5,38,0.0003720910501737743,0.010636934681128252,9
19,0.5152019262313843,0.5661997199058533,0.7716490030288696,26,0.01612199828124529,0.702358584081718,0.6172803398163924,8,28,0.014801621082153832,0.0014744426651291604,5
