pdb_id,pocket_rmsd_to_af
6TFI,0.549
8F5Y,0.655
8SVU,0.661
8CH8,0.710
7AX9,0.713
7AXE,0.735
4S0S,0.736
6S41,0.743
7AXB,0.777
8CF9,0.788
6NX1,0.832
8SVN,0.834
7AXD,0.873
7AX8,0.883
7RIU,0.887
4XAO,0.895
8EQZ,0.917
7AXL,0.922
7RIO,0.924
8SVR,0.927
3CTB,0.928
6HJ2,0.928
6BNS,0.932
8R00,0.943
7RIV,0.949
7AXK,0.955
6HTY,0.958
4J5W,0.995
8E3N,1.000
7YFK,1.036
4X1G,1.041
4X1F,1.060
9FZJ,1.069
6XP9,1.070
2O9I,1.071
7AXI,1.073
6P2B,1.073
7AXJ,1.082
7N2A,1.087
7AXH,1.087
9FZI,1.109
6DUP,1.113
4J5X,1.127
3R8D,1.137
4S0T,1.142
4XHD,1.148
1ILG,1.149
9FZH,1.159
7AXC,1.161
9FZG,1.178
7AXA,1.186
8CCT,1.207
8SVX,1.215
3HVL,1.226
5A86,1.240
8SZV,1.255
4NY9,1.283
1NRL,1.287
1SKX,1.312
1M13,1.321
8SVO,1.325
8SVQ,1.351
8SVP,1.356
8FPE,1.394
1ILH,1.422
5X0R,1.427
8SVT,1.438
7AXG,1.455
7AXF,1.488
8SVS,1.592
2QNV,1.616
9BEQ,1.898
